,document_id,pr_number,status,message
0,TD18100313,10152646,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
1,TD18100413,10152642,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
2,TD18100414,10155806,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
3,TD18100415,10155804,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
4,TD18100416,10155805,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
5,TD18100417,10154709,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
6,TD18100813,10154704,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
7,TD18100816,10154706,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
8,TD18100819,10153956,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
9,TD18100820,10153955,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
10,TD18102410,10157104,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
11,TD18102446,10158400,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
12,TD18102479,10157101,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
13,TD18102518,10152679,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
14,TD18102532,10157465,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
15,TD18102537,10150235,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
16,TD18102551,10152193,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
17,TD18102554,10152684,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
18,TD18102556,10154516,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
19,TD18102560,10156289,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
20,TD18102564,10154514,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
21,TD18102595,10157355,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
22,TD18102597,10157120,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
23,TD18102599,10155928,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
24,TD18102917,101531442,Failed,PR Object not found
25,TD18103130,2001000004,Failed,PR Object not found
26,TD18103194,10158700,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
27,TD1811122,10151813,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
28,TD18111225,10154821,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
29,TD18111239,10151822,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
30,TD18111242,10152360,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
31,TD18111263,10154349,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
32,TD18111283,10156058,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
33,TD18111289,10155782,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
34,TD18111293,10151816,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
35,TD18111295,10152361,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
36,TD18111298,10159179,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
37,TD18111316,10155657,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
38,TD1811134,10155506,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
39,TD18111410,10151821,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
40,TD18111440,10151817,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
41,TD1811163,10160363,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
42,TD18111916,10159923,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
43,TD18111928,10160115,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
44,TD18111936,10159924,Failed,PR Object not found
45,TD18111952,10154667,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
46,TD18111957,10160363,Failed,PR Object not found
47,TD18111969,10154821/1,Failed,PR Object not found
48,TD18111974,10159924,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
49,TD18111979,10154661,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
50,TD18111980,10160363,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
51,TD1811199,10159923,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
52,TD1811201,10159367,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
53,TD18112133,10160363,Failed,['“0000-00-00” value has the correct format (YYYY-MM-DD) but it is an invalid date.']
